"","X","address","city_or_county","date","incident_url","latitude","longitude","n_injured","n_killed"
"3746",4219,"10th Ave.","Huntsville","2016-09-26","http://www.gunviolencearchive.org/incident/664843",34.7147,-86.6057,1,0
"3747",4319,"601 W Front St","Evergreen","2016-09-26","http://www.gunviolencearchive.org/incident/671631",31.4381,-86.9511,0,0
"3748",4373,"Garden Street","Montgomery","2016-09-27","http://www.gunviolencearchive.org/incident/664694",NA,NA,1,0
"3749",4374,"3300 block of Avenue F","Bessemer","2016-09-27","http://www.gunviolencearchive.org/incident/664831",33.4245,-86.9272,1,0
"3750",4375,"600 block of Edmon Avenue","Opelika","2016-09-27","http://www.gunviolencearchive.org/incident/664836",32.6211,-85.3804,0,1
"3751",4465,"Leroy Brown Drive","Uniontown","2016-09-27","http://www.gunviolencearchive.org/incident/666446",32.4309,-87.5117,0,1
"3752",4561,"2300 block of Airport Boulevard","Mobile","2016-09-28","http://www.gunviolencearchive.org/incident/666548",30.6768,-88.0952,1,0
"3753",4631,"St. Stephens Road","Mobile (Prichard)","2016-09-28","http://www.gunviolencearchive.org/incident/665801",30.7262,-88.0948,1,0
"3754",4632,"Azan Street","Mobile (Prichard)","2016-09-28","http://www.gunviolencearchive.org/incident/665794",30.7384,-88.0792,1,0
"3755",4633,"400 block of Taylor Road","Montgomery","2016-09-28","http://www.gunviolencearchive.org/incident/665805",32.376,-86.1749,2,0
"3756",4634,"2800 block of Academy Drive","Huntsville","2016-09-28","http://www.gunviolencearchive.org/incident/665811",34.7594,-86.5794,3,0
"3757",4662,"2400 block of Rothfield Place","Mobile","2016-09-29","http://www.gunviolencearchive.org/incident/666443",NA,NA,0,1
"3758",4696,"Parsons Drive and Main Street","Mobile (Prichard)","2016-09-29","http://www.gunviolencearchive.org/incident/665792",30.7288,-88.1098,1,0
"3759",4698,"North Conecuh St.","Greenville","2016-09-29","http://www.gunviolencearchive.org/incident/666450",31.8373,-86.6164,1,0
"3760",4748,"Gibson Street","Montgomery","2016-09-29","http://www.gunviolencearchive.org/incident/666455",32.4057,-86.2824,1,0
"3761",4749,"3000 block of 29th Court North","Birmingham","2016-09-29","http://www.gunviolencearchive.org/incident/666459",33.5526,-86.8079,0,1
"3762",4751,"2100 block of Montevallo Road Southwest","Birmingham","2016-09-29","http://www.gunviolencearchive.org/incident/666464",33.4686,-86.8422,2,0
